mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__max_iter,param_clf__penalty,param_clf__solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.3198703289031982,0.2837362977727396,0.12759814262390137,0.09831499144316903,0.1,500,l2,liblinear,"{'clf__C': 0.1, 'clf__max_iter': 500, 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}",0.9594187589207679,0.9593118669005716,0.95108746911135,0.9653669854563975,0.9505467212444746,0.9571463603267125,0.005616000185005336,15,0.9571492684184383,0.9572274725067436,0.9593307301982533,0.9554645401442414,0.9591562446946974,0.9576656511924748,0.0014351235947442623
0.41603403091430663,0.16009960389642944,0.2517200469970703,0.15192664479486995,0.1,500,l2,saga,"{'clf__C': 0.1, 'clf__max_iter': 500, 'clf__penalty': 'l2', 'clf__solver': 'saga'}",0.9594187589207679,0.9593181546664655,0.9510874691113501,0.9653858487540792,0.9505152824150052,0.9571451027735336,0.005629405025270186,16,0.9571476964769647,0.9572306163896906,0.9593326951250949,0.9554613962612943,0.9591452411043832,0.9576635290714857,0.0014341876747695818
0.09676074981689453,0.050064278658849146,0.06015534400939941,0.03873098635999343,1.0,500,l1,liblinear,"{'clf__C': 1, 'clf__max_iter': 500, 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}",0.9597771615767202,0.9587019536088632,0.950898836134533,0.9655744817308962,0.9508799728368513,0.9571664811775727,0.005633318072715845,13,0.9572007495016944,0.9573029256974704,0.9593940008425607,0.9554877262809751,0.9592258031048988,0.95772224108552,0.0014488833431139595
0.1194852352142334,0.0952903421599887,0.08841915130615234,0.11300574588293638,1.0,500,l1,saga,"{'clf__C': 1, 'clf__max_iter': 500, 'clf__penalty': 'l1', 'clf__solver': 'saga'}",0.9597708738108263,0.9587333924383327,0.9509051239004269,0.9655556184332146,0.9508799728368512,0.9571689962839303,0.005627440736648724,11,0.9571987845748525,0.9573048906243123,0.9593928218864556,0.9554924421053954,0.9592230522073202,0.9577223982796672,0.0014466143736337447
0.03771567344665527,0.0023454549448601405,0.06619539260864257,0.052261366810587864,1.0,500,l2,liblinear,"{'clf__C': 1, 'clf__max_iter': 500, 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}",0.9597017083859933,0.9587899823313778,0.9509302749640025,0.9655493306673206,0.9508862606027453,0.9571715113902879,0.005615453863294527,9,0.9571928897943272,0.9572993888291551,0.9593853551644566,0.9554955859883424,0.9591943642754294,0.9577135168103421,0.001438730294594958
0.3193524360656738,0.12094846082244577,0.1373754024505615,0.047714199532808525,1.0,500,l2,saga,"{'clf__C': 1, 'clf__max_iter': 500, 'clf__penalty': 'l2', 'clf__solver': 'saga'}",0.9596891328542057,0.9587899823313777,0.9509239871981087,0.9655493306673206,0.9508862606027453,0.9571677387307516,0.005615720553779766,12,0.9571924968089587,0.95729820987305,0.9593822112815098,0.955495193002974,0.9591947572607977,0.9577125736454579,0.0014382984579503731
0.1694704532623291,0.02316916196871806,0.07670717239379883,0.034037416529284756,10.0,500,l1,liblinear,"{'clf__C': 10, 'clf__max_iter': 500, 'clf__penalty': 'l1', 'clf__solver': 'liblinear'}",0.9597645860449324,0.9587396802042265,0.9509239871981087,0.9655619061991084,0.9509114116663208,0.9571803142625394,0.005617863192968135,7,0.9572148969749559,0.9573029256974704,0.9593857481498248,0.9554928350907638,0.9592175504121631,0.9577227912650356,0.0014426835240262822
0.10112433433532715,0.02750591433977002,0.03180904388427734,0.009938091322125767,10.0,500,l1,saga,"{'clf__C': 10, 'clf__max_iter': 500, 'clf__penalty': 'l1', 'clf__solver': 'saga'}",0.9597582982790385,0.9587396802042265,0.9509176994322147,0.9655430429014267,0.9509114116663209,0.9571740264966454,0.005613058713588559,8,0.9572125390627456,0.957301353755997,0.9593873200912985,0.9554928350907638,0.9592175504121631,0.9577223196825935,0.0014433039480698923
0.049532604217529294,0.007069082902399481,0.03084702491760254,0.007940352309878282,10.0,500,l2,liblinear,"{'clf__C': 10, 'clf__max_iter': 500, 'clf__penalty': 'l2', 'clf__solver': 'liblinear'}",0.9597520105131445,0.9587648312678022,0.9509176994322147,0.9655744817308962,0.950898836134533,0.9571815718157181,0.005626076204791209,6,0.9572105741359037,0.9573037116682072,0.9593884990474035,0.9554932280761321,0.9592116556316375,0.9577215337118569,0.001442236993031678
0.06010627746582031,0.011163638863146873,0.055379629135131836,0.02488697453130234,10.0,500,l2,saga,"{'clf__C': 10, 'clf__max_iter': 500, 'clf__penalty': 'l2', 'clf__solver': 'saga'}",0.9597645860449324,0.9587648312678022,0.9509176994322147,0.9655744817308962,0.950898836134533,0.9571840869220758,0.0056272274361871275,3,0.9572105741359038,0.9573037116682072,0.9593865341205616,0.9554932280761322,0.9592128345877425,0.9577213765177095,0.0014420267330721892
